Date,Client,Cumulative
2011-08-17,Monocoque Diversified Interests,4
2011-08-17,"Nadeau, Sean",4
2011-08-17,Noble Savage Design/Build,4
2011-08-17,Northwest Austin Civic Association,4
2011-08-17,NuRock Development,4
2011-08-17,Oak Hill United Methodist Church,4
2011-08-17,Oliva's Tailor Shop,4
2011-08-17,Oxford Alliance Investments,4
2011-08-17,P and H Medical Solutions,4
2011-08-17,Pacifica Host Hotels,4
2011-08-17,Pasta and Company,4
2011-08-17,Peter T. Martin and Kevin McNeil Martin and Martin Law,4
2011-08-17,Prevarian Hospital Partners,4
2011-08-17,Radec Management,4
2011-08-17,Reagan National Advertising,4
2011-08-17,"Riverside Resources Investments, Limited",4
2011-08-17,Rob Roy Homeowners Association,4
2011-08-17,Robert Ehrlich,4
2011-08-17,Robert Ross,4
2011-08-17,Russell's Bakery,4
2011-08-17,Russell's Bistro,4
2011-08-17,Saint Edward's University,4
2011-08-17,"Second Congress, Limited",4
2011-08-17,Shoal Creek Saloon,4
2011-08-17,Sophie Wiman,4
2011-08-17,Sportsman's Barbershop,4
2011-08-17,Steve Greenberg,2
2011-08-17,Subway,4
2011-08-17,Texas Capital Bank,4
2011-08-17,The Brick Oven Restaurant,4
2011-08-17,The Menagerie,4
2011-08-17,The Samuel Group Architects,4
2011-08-17,Tri Recycling,4
2011-08-17,Trilogy Enterprises,4
2011-08-17,V and S Enterprises,4
2011-08-17,Verbena Design Studio,4
2011-08-17,Versa Development,4
2011-08-17,Wendow,4
2011-08-17,Zachary Scott Theatre,4
2011-08-17,Zilker Park Residences Partners,4
2011-08-17,bella-mi Children's Store,4
2011-10-21,AFSCME 1624,2
2011-10-21,Austin AFL CIO,2
2011-11-18,Connecticut General Life Insurance Company,8
2012-01-06,Catellus Commercial Group,4
2012-01-06,DFI Resources,4
2012-01-06,Delaware North Companies/Travel Hospitality Services,4
2012-01-06,Lennar Homes,4
2012-01-06,National Works,4
2012-01-06,Waller Creek Conservancy,4
2012-01-06,"Yacktman, Stephen and Ellyn",4
2012-01-07,United Cab,8
2012-01-12,Texas Retailers Association,4
2012-01-17,Twin Oaks Associates,4
2012-01-19,Solar Austin Foundation,4
2012-03-05,The Real Estate Council of Austin,4
2012-03-09,Apple,4
2012-03-09,RedLeaf Highland,4
2012-03-09,RedLeaf Properties,4
2012-03-23,American Heart Association,10
2012-04-16,Greyhound Lines,1
2012-04-16,Strategic Partnerships,1
2012-04-17,Public Citizen,4
2012-04-25,Davey Tree Expert Company,4
2012-06-22,Austin Board of Realtors,1
2012-07-05,Seton Healthcare,12
2012-09-27,Austin Community College District,4
2012-09-27,Cornerbrook Development,4
2012-09-27,One World Theatre,4
2012-09-27,Rancho Garza,4
2012-09-28,National Joint Powers Alliance,4
2012-10-19,Austin Community College District,8
2012-10-19,Cornerbrook Development,8
2012-10-19,One World Theatre,8
2012-10-19,Rancho Garza,8
2012-10-22,American Constructors,4
2012-10-22,Brightman Energy,4
2012-10-22,Don Martin Public Affairs,4
2012-10-22,Fine Line Diversified Development,2
2012-10-22,Fineline Diversified Developement,2
2012-10-22,Journeyman Construction,4
2012-10-22,Lynxs,4
2012-10-22,"OHL, USA",4
2012-10-22,OHL/Zachary,4
2012-10-22,Spurs Sports and Entertainment,4
2013-01-03,1219 South Lamar Venture,8
2013-01-03,5453 Burnet Park Venture,8
2013-01-03,Alliance Residential,8
2013-01-03,Ardent Residential,8
2013-01-03,"Austin American-Statesman,",8
2013-01-03,Austin Children's Museum,8
2013-01-03,Austin Chronicle,8
2013-01-03,"Avellan, Elizabeth",8
2013-01-03,"Ayers, Robert A.",4
2013-01-03,Bread and Circus,8
2013-01-03,"Champion, Josie, Juanita Meier and Mary Margaret Roberson",8
2013-01-03,"Charles S. Dildy and Bertha Magdelan Steger Dildy, Trustees",8
2013-01-03,Christopher Commercial,8
2013-01-03,Churchill Forge,8
2013-01-03,Constructive Ventures,8
2013-01-03,Coover and Coover,4
2013-01-03,"Coover, David M. Jr.",4
2013-01-03,Cottonwood Holdings,8
2013-01-03,Dwyer Realty Companies,8
2013-01-03,EYA Investments,8
2013-01-03,Falkin/Platnick Realty Group,8
2013-01-03,Farm Credit Bank of Texas,8
2013-01-03,Film Society of Austin,8
2013-01-03,Finley Company,8
2013-01-03,Floresta Properties,40
2013-01-03,HRI Development,8
2013-01-03,Highland Management,16
2013-01-03,"Hillin Jr., Robert",8
2013-01-03,INTCO Development of Texas,8
2013-01-03,INTCO Properties,4
2013-01-03,"International Bank of Commerce, Laredo, Texas",8
2013-01-03,Jack Brown Companies,8
2013-01-03,Jack Brown Family III,8
2013-01-03,KB Home,8
2013-01-03,KXAN,8
2013-01-03,Kevin Hunter Camco Land,6
2013-01-03,Kitchell Development,8
2013-01-03,"Knight, Robert - Knight Real Estate",8
2013-01-03,Lack and Hurley,8
2013-01-03,Lampting,8
2013-01-03,Lica Pinkston,4
2013-01-03,"Logan, Ellen Anderson",8
2013-01-03,"Lorenz, Perry",8
2013-01-03,MSW-NSG Real Estate Ventures,8
2013-01-03,Margaret Scarbrough Wilson,8
2013-01-03,Met Center,16
2013-01-03,"Moritz, Jim/Moritz Properties",8
2013-01-03,Munson Park,8
2013-01-03,New TPG Four Points,8
2013-01-03,"Pinkston, Lica",4
2013-01-03,Presidio Pictures,8
2013-01-03,Riverside Resources,16
2013-01-03,"Robbins, Freddie H.",8
2013-01-03,"Robbins, Stewart",2
2013-01-03,"Robbins, Stuart B.",4
2013-01-03,"Rodriguez, Robert A.",8
2013-01-03,SXSW,16
2013-01-03,Saint Edward's University,8
2013-01-03,Scarbrough Ventures,8
2013-01-03,South IH-35 Investors,8
2013-01-03,Southwest Parkway Partners,8
2013-01-03,St. David's Foundation,6
2013-01-03,St. David's Healthcare Center,2
2013-01-03,Stratagem Development.,8
2013-01-03,Taylor Morrison of Texas,8
2013-01-03,The Muskin Company,8
2013-01-03,Treaty Oak Bank,8
2013-01-03,Troublemaker Studios,8
2013-01-03,"Turner, Ben, Consort",8
2013-01-03,Twin Oaks Associates,12
2013-01-03,"Tynberg, Alex and Elisabeth",8
2013-01-03,URSTCO GP,16
2013-01-03,"Warshaw, Larry",8
2013-01-03,"Wong, M.D., Mitchel",8
2013-01-03,Zapalac/Reed Construction Company,8
2013-01-03,Zydeco Development,8
2013-01-04,Texas Disposal Systems,3
2013-01-07,Lone Star Rail District (Austin-San Antonio Commuter Rail District),1
2013-01-10,Austin Aquatics and Sports Academy,1
2013-01-10,Austin Sunshine Camp,1
2013-01-10,County Line,1
2013-01-10,Dinerstein Company,1
2013-01-10,First Hartford Realty,1
2013-01-10,Lyda Family Trust,1
2013-01-10,Morgan Group,1
2013-01-10,Regents School of Austin,1
2013-01-10,Sage South Shore,1
2013-01-10,Stratford Land,1
2013-01-17,Marc Knutsen Companies,4
2013-02-14,620/183,1
2013-02-14,Castle Hill Management,1
2013-02-14,Cirrus Logic,1
2013-02-14,Community Sun,1
2013-02-14,Cummings-Baccus,1
2013-02-14,JP Morgan Chase Bank,1
2013-02-14,LTBS 2222,1
2013-02-14,Makar Development - Waters Edge,1
2013-02-14,Michael J. McGinnis,1
2013-02-14,Pearson Place at Avery Ranch,1
2013-02-14,Richard Hardin,1
2013-02-14,Sheffield Partners,1
2013-02-14,Texas Star Brands,1
2013-02-14,Thomas Southwest,1
2013-02-14,ZFB,1
2013-03-04,Brisa Communications,4
2013-03-04,Crossroads Events,4
2013-03-04,Fiestas Patrias of Austin,4
2013-03-04,IBC Bank,4
2013-03-04,MVAA,4
2013-03-04,Minority Contractors Trade Association Alliance,4
2013-03-04,Save Austin,4
2013-03-04,Snappy Snacks Mobile Catering,4
2013-03-04,Southwest Key/ East Austin College Prep Academy,4
2013-03-04,TRC Solutions,4
2013-03-04,The Mulholland Group,4
2013-03-04,Trammell Crow Company,4
2013-03-04,U.S. Hispanic Contractors Association,4
2013-03-07,Capital Metro,1
2013-03-07,Conor Commercial Real Estate,1
2013-03-07,Dessau Business Park Propery Owners Assn,1
2013-03-07,Jeff Alderson,1
2013-03-07,Munsch Hardt Kopf and Harr,1
2013-03-07,Triton Receivership,1
2013-03-08,Bridges on The Park Condominium Association,4
2013-03-21,Redflex Guardian,4
2013-03-21,Redflex Traffic Systems,4
2013-04-29,Andersson Wise Architects,1
2013-04-29,Gordon Muir,1
2013-04-29,John Mayes,1
2013-04-29,Kathy Kyrish,1
2013-04-29,Little City Properties,1
2013-04-29,Lone Star Rail,1
2013-04-29,MKKN Development,1
2013-04-29,Mission Homes,1
2013-04-29,Permit Partners,1
2013-04-29,RIP Esselsttyn,1
2013-04-29,RedLeaf Properties,1
2013-04-29,Scot Van Den Berg,1
2013-04-29,Seton Healthcare,13
2013-04-29,Strategic Partnerships,1
2013-04-30,Ashley Amini,1
2013-04-30,David Morrison,1
2013-04-30,Journeyman Construction,5
2013-04-30,Michael Biter,1
2013-04-30,WEHBE Properties,1
2013-05-01,Workers Defense Project,4
2013-05-21,360 Aircon Energy Savers,4
2013-06-18,AT&T,1
2013-06-18,Cisco Systems,1
2013-06-18,HDI Solutions,1
2013-06-18,Northrop Grumman,1
2013-06-18,Oracle America,1
2013-06-18,Pitney Bowes,1
2013-06-28,Greater Austin Transportation,1
2013-06-28,R and R Limousine and Bus,1
2013-07-01,NextEra Energy Resources,4
2013-07-01,River Place Municipal Utility District,4
2013-07-01,Shady Hollow MUD,4
2013-07-09,Arnold Oil,1
2013-07-09,CWS,1
2013-07-09,Cousins Properties,1
2013-07-09,Hixon Properties,1
2013-07-09,Manchester Financial Group,1
2013-07-09,Post Paggi,1
2013-07-09,Trinsic Residential Group,1
2013-07-09,Walters Southwest,1
2013-07-16,Bob and Michael Herd,1
2013-07-16,Deborah Dunn,1
2013-07-16,Milestone Community Builders,1
2013-07-16,Scotia Western States Housing,1
2013-07-16,St. David's Foundation,7
2013-07-18,5001 Convict Hill,1
2013-07-18,Austin Presbetyrian Theological Seminary,1
2013-07-18,Austin Ridge Bible Church,1
2013-07-18,CBL and Associates Management,1
2013-07-18,"Coats, Rose, Yale, Ryman and Lee",1
2013-07-18,Harris Branch Master Association,1
2013-07-18,North Austin MUD No. 1,1
2013-07-18,RKS Texas Investments,1
2013-07-18,SC Lantana Investors,1
2013-07-18,The Brohn Group,1
2013-07-23,HausBar Farms,1
2013-07-23,Marvin Petzolt,1
2013-07-23,Workers Defense Project,6
2013-08-06,AT&T,11
2013-08-07,AT&T,13
2013-08-09,Dropbox,4
2013-08-13,AT&T,17
2013-08-15,Travis County Emergency Services District No. 11,4
2013-08-20,Austaco,2
2013-08-20,Austin Sonic,2
2013-08-20,McDonalds,2
2013-08-20,Whatabrands,2
2013-08-29,Dropbox,8
2013-09-03,HNTB,1
2013-09-05,5001 Convict Hill,2
2013-09-05,A and M Option 541,1
2013-09-05,APAC- Tecas,1
2013-09-05,Austin HB Residential,1
2013-09-05,Austin Presbetyrian Theological Seminary,2
2013-09-05,Austin Ridge Bible Church,2
2013-09-05,Balcones Country Club Membership Association,1
2013-09-05,Brady Ohman,1
2013-09-05,Braker Valley,1
2013-09-05,Buffalo Equities,1
2013-09-05,CBL and Associates Management,2
2013-09-05,"Coats, Rose, Yale, Ryman and Lee",2
2013-09-05,GHI Partners,1
2013-09-05,Kam Kronenberg,1
2013-09-05,RKS Texas Investments,2
2013-09-05,Rob Roy Homeowners Association,1
2013-09-05,Roy Cavanaugh,1
2013-09-05,SC Lantana Investors,2
2013-09-05,Steve and Michelle Turnquist,1
2013-09-05,The Brohn Group,2
2013-09-05,Vineyard Management,1
2013-09-12,Uber Technologies,3
2013-09-20,Austin Music People,4
2013-10-01,Austin Aquatics and Sports Academy,2
2013-10-01,AustinSeventyOne,1
2013-10-01,Butler Family Partnership,1
2013-10-01,C and G Ventures,1
2013-10-01,Cameron and Killingsworth- Pflugerville 292,1
2013-10-01,County Line,2
2013-10-01,Crescent Recourses,1
2013-10-01,Fifth Generation Tasting,1
2013-10-01,First Hartford Realty,2
2013-10-01,Harrod Properties,1
2013-10-01,Heiser Development,1
2013-10-01,JMI,1
2013-10-01,John Kleas,1
2013-10-01,Koontz-McCombs,1
2013-10-01,Life Austin,1
2013-10-01,Lyda Family Trust,2
2013-10-01,McShane Development,1
2013-10-01,Milestone Community Builders,2
2013-10-01,Morgan Group,2
2013-10-01,Neal Richards Group,1
2013-10-01,Reagan National Advertising,1
2013-10-01,Regents School of Austin,2
2013-10-01,Sage South Shore,2
2013-10-01,Sawtooth Development Group,1
2013-10-01,St. Michael's Episcopal Church,1
2013-10-01,Standard Pacific of Texas,1
2013-10-01,Stonelake Capital Partners,1
2013-10-01,Stratford Land,2
2013-10-01,Street Lights Residential,1
2013-10-01,"Stutzman, Bromberg, Esserman and Plifka",1
2013-10-01,Sunshine Camp,1
2013-10-01,Sutton Company,1
2013-10-01,Taurus of Texas GP,1
2013-10-01,Texas Bar and Nightclub Alliance,1
2013-10-01,The Dinerstein Companies,1
2013-10-01,William Archer,1
2013-10-01,thinkEAST,1
2013-10-07,AT&T,20
2013-10-07,Balcones Resources,3
2013-10-07,Butler Park Pitch and Putt,1
2013-10-07,Hopper Communities,1
2013-10-07,Ledcor Properties Company,3
2013-10-07,Lincoln Property Company,3
2013-10-07,Mark Cathcart,3
2013-10-07,Oden Hughes,3
2013-10-07,Perry Estates,3
2013-10-07,Peyton Riley No. 3,3
2013-10-07,Presidium Group,2
2013-10-07,Sackmann Enterprises,3
2013-10-07,Techridge Spectrum B.C.,3
2013-10-07,Texas Research International,3
2013-10-08,3 Point Partners,1
2013-10-08,AMD,1
2013-10-08,AT&T,21
2013-10-08,Armbrust and Brown,1
2013-10-08,Balcones Resources,4
2013-10-08,CCARE,1
2013-10-08,Circuit of the Americas,1
2013-10-08,Cirrus Logic,2
2013-10-08,Cypress Realty,1
2013-10-08,Endeavor Real Estate Group,1
2013-10-08,HDR,1
2013-10-08,InSinkErator,1
2013-10-08,MWH Constructors,1
2013-10-08,McShane Development,2
2013-10-08,Neal Richards Group,2
2013-10-08,North Austin MUD No. 1,2
2013-10-08,Simon Property Group,1
2013-10-08,Skanska,1
2013-10-08,Solair Direct,1
2013-10-08,Southside Wrecker,1
2013-10-08,Southwest Securities,1
2013-10-08,Texas Special Events Alliance,1
2013-10-08,Tokyo Electron America,1
2013-10-08,Wal-Mart,1
2013-10-08,Walter A. DeRoeck,1
2013-10-08,Water Control Irrigation District # 10,1
2013-10-08,Wells Branch MUD,1
2013-10-08,West Austin Youth Association,1
2013-10-28,6ixth Street Austin,1
2013-10-28,American Campus Communities,1
2013-10-28,Amplify Federal Credit Union,1
2013-10-28,Austin Fairchild Management,1
2013-10-28,MBC Engineers,1
2013-10-28,MPVI,1
2013-11-07,Pyramis Global Advisors Holdings,3
2013-12-20,183 BLW,1
2013-12-20,4800 Friedrich Lane,1
2013-12-20,Accelerator Holdings,1
2013-12-20,Amstar Group,2
2013-12-20,Aspen Properties,1
2013-12-20,Austin Achieve,1
2013-12-20,Austin Baptist Church,1
2013-12-20,Austin Board of Realtors,1
2013-12-20,Austin Quality Schools Collaborative,1
2013-12-20,Austin Restaurant Association,1
2013-12-20,AutoReturn,1
2013-12-20,AvalonPark Texas,1
2013-12-20,Blenheim,1
2013-12-20,Bob Gregory,1
2013-12-20,Brock Consulting Group,1
2013-12-20,CRV Shoreline,1
2013-12-20,CST Brands,1
2013-12-20,CWS Capital Partners,1
2013-12-20,Capital Commercial Investments,1
2013-12-20,Capridge Partners,1
2013-12-20,Carma Texas,1
2013-12-20,Charles Dorrance,1
2013-12-20,Christopher Slover,1
2013-12-20,Circuit of the Americas,2
2013-12-20,Cirrus Logic,3
2013-12-20,Concordia University,1
2013-12-20,Creek 620,1
2013-12-20,Crescent 210 Barton Springs,1
2013-12-20,"Cullen, John",1
2013-12-20,Cypress Realty,5
2013-12-20,David and Suzanne Booth,1
2013-12-20,Deborah and Gary Attal,1
2013-12-20,Dwyer Realty Companies,9
2013-12-20,EHB Companies,1
2013-12-20,Endeavor Real Estate Group,2
2013-12-20,Episcopal Theological Seminary of the Southwest,1
2013-12-20,Eric Reddehase,1
2013-12-20,Flextronics,1
2013-12-20,Forestar Real Estate Group,1
2013-12-20,Four Seasons Hotel,1
2013-12-20,G5 Investments,1
2013-12-20,Gables Residential,1
2013-12-20,Gene Burris,1
2013-12-20,General Investment and Development,1
2013-12-20,Glenn Jackson,1
2013-12-20,Goodstone,1
2013-12-20,Google,1
2013-12-20,H-E-B,1
2013-12-20,HPI Real Estate and Services Investment,1
2013-12-20,HSD Lakeway Holdings,1
2013-12-20,Highland Management,17
2013-12-20,Hughes Capital Management,1
2013-12-20,Hyde Park Baptist Church,1
2013-12-20,IDEA Public Schools,1
2013-12-20,James Schneider,1
2013-12-20,Jeffery C. Garvey,1
2013-12-20,Jewish Community Association of Austin,1
2013-12-20,Jim Gallegos,1
2013-12-20,KIPP Austin Public School,1
2013-12-20,Linda Moody,1
2013-12-20,Liz Lambert,1
2013-12-20,Magellan Development Group,1
2013-12-20,Magnolia Montessori for all,1
2013-12-20,Majestic Realty,1
2013-12-20,Makar Properties,1
2013-12-20,"McCullough, Todd",1
2013-12-20,Meredith Family Revocable Trust,1
2013-12-20,"Nelson, Brad",1
2013-12-20,North Austin MUD No. 1,3
2013-12-20,Onion Associates,1
2013-12-20,Orangestone Bluegrass,1
2013-12-20,P&S Investments I,1
2013-12-20,Qualico,1
2013-12-20,REIT Management,1
2013-12-20,REIT Management and Research,1
2013-12-20,Radisson Hotel,1
2013-12-20,Randy Wilson,1
2013-12-20,"Rice, Robert",1
2013-12-20,Riddell Family,1
2013-12-20,Riverside Resources,17
2013-12-20,Robert Schmidt,1
2013-12-20,Robinson Ranch,1
2013-12-20,Ryan Street and Associates,1
2013-12-20,Safeway,1
2013-12-20,Scott Sayers,1
2013-12-20,Seton Healthcare,2
2013-12-20,"Shapiro, Bobby and Jim",1
2013-12-20,Speakeasy,1
2013-12-20,Speedy Stop,1
2013-12-20,St. Andrew's Episcopal School,1
2013-12-20,Stream Realty,1
2013-12-20,Stubb's Austin Restaurant Company,1
2013-12-20,T. Stacy and Associates,1
2013-12-20,TR Vista Preserve,1
2013-12-20,Tanglewood Forest Limited District,1
2013-12-20,Taylor Morrison,1
2013-12-20,The Brohn Group,3
2013-12-20,The Charter School Fund,1
2013-12-20,The Dovetail Companies,1
2013-12-20,The Gottesman Company,1
2013-12-20,The Kucera Companies,1
2013-12-20,The NRP Group,1
2013-12-20,The University of Texas System,1
2013-12-20,Tierra Concepts,1
2013-12-20,Trudy's Texas Star,1
2013-12-20,Urban Outfitters,1
2013-12-20,Vivo Hospitality,1
2013-12-20,W and G Partnership,1
2013-12-20,Walton International Group,1
2013-12-20,Walton Stacy Partners,4
2013-12-20,Westbank Community Library District,1
2013-12-20,White Lodging Services,1
2013-12-20,"Wilkerson, Eric",1
2013-12-20,"Wilkinson, Julia Matthews",1
2014-01-03,1219 South Lamar Venture,3
2014-01-03,5453 Burnet Park Venture,5
2014-01-03,Alliance Residential,9
2014-01-03,Ardent Residential,8
2014-01-03,Ashton Woods Homes,2
2014-01-03,"Austin American-Statesman,",9
2014-01-03,Austin Chronicle,9
2014-01-03,"Ayers, Robert A.",8
2014-01-03,Bread and Circus,8
2014-01-03,"Champion, Josie, Juanita Meier and Mary Margaret Roberson",3
2014-01-03,Constructive Ventures,10
2014-01-03,Coover and Coover,8
2014-01-03,"Coover, David M. Jr.",8
2014-01-03,Cypress Realty,6
2014-01-03,Film Society of Austin,9
2014-01-03,Finley Company,8
2014-01-03,HRI Development,10
2014-01-03,Highland Management,17
2014-01-03,"Hillin Jr., Robert",8
2014-01-03,"International Bank of Commerce, Laredo, Texas",10
2014-01-03,Jack Brown Family III,7
2014-01-03,KB Home Lone Star,2
2014-01-03,Kitchell Development,10
2014-01-03,Lampting,8
2014-01-03,Lica Pinkston,8
2014-01-03,"Logan, Ellen Anderson",8
2014-01-03,"Lorenz, Perry",8
2014-01-03,Met Center,18
2014-01-03,Riverside Resources,5
2014-01-03,"Riverside Resources Investments, Limited",2
2014-01-03,"Rodriguez, Robert A.",9
2014-01-03,SXSW,20
2014-01-03,Scarbrough Ventures,7
2014-01-03,South IH-35 Investors,10
2014-01-03,St. David's Healthcare Center,1
2014-01-03,Stratus Properties,1
2014-01-03,Tantallon Austin Hotel,6
2014-01-03,Taylor Morrison of Texas,7
2014-01-03,Texas Disposal Systems,4
2014-01-03,Troublemaker Studios,9
2014-01-03,Twin Oaks Associates,11
2014-01-03,"Warshaw, Larry",9
2014-01-03,Weekley Homes,6
2014-01-03,"Wong, M.D., Mitchel",9
2014-01-03,Zydeco Development,9
2014-01-07,183 BLW,3
2014-01-07,4800 Friedrich Lane,3
2014-01-07,Accelerator Holdings,3
2014-01-07,Amstar Group,6
2014-01-07,Aspen Properties,3
2014-01-07,Austin Achieve,3
2014-01-07,Austin Baptist Church,3
2014-01-07,Austin Board of Realtors,3
2014-01-07,Austin Quality Schools Collaborative,3
2014-01-07,Austin Restaurant Association,3
2014-01-07,AutoReturn,3
2014-01-07,AvalonPark Texas,3
2014-01-07,Blenheim,3
2014-01-07,Bob Gregory,3
2014-01-07,Brock Consulting Group,3
2014-01-07,CRV Shoreline,3
2014-01-07,CST Brands,3
2014-01-07,CWS Capital Partners,3
2014-01-07,Capital Commercial Investments,3
2014-01-07,Capridge Partners,3
2014-01-07,Carma Texas,3
2014-01-07,Charles Dorrance,3
2014-01-07,Christopher Slover,3
2014-01-07,Circuit of the Americas,4
2014-01-07,Cirrus Logic,5
2014-01-07,Concordia University,3
2014-01-07,Creek 620,3
2014-01-07,Crescent 210 Barton Springs,3
2014-01-07,"Cullen, John",3
2014-01-07,Cypress Realty,14
2014-01-07,David and Suzanne Booth,3
2014-01-07,Deborah and Gary Attal,3
2014-01-07,Dwyer Realty Companies,3
2014-01-07,EHB Companies,3
2014-01-07,Endeavor Real Estate Group,4
2014-01-07,Episcopal Theological Seminary of the Southwest,3
2014-01-07,Eric Reddehase,3
2014-01-07,Flextronics,3
2014-01-07,Forestar Real Estate Group,3
2014-01-07,Four Seasons Hotel,3
2014-01-07,G5 Investments,3
2014-01-07,Gables Residential,3
2014-01-07,Gene Burris,3
2014-01-07,General Investment and Development,3
2014-01-07,Glenn Jackson,3
2014-01-07,Goodstone,3
2014-01-07,Google,3
2014-01-07,H-E-B,3
2014-01-07,HPI Real Estate and Services Investment,3
2014-01-07,HSD Lakeway Holdings,3
2014-01-07,Highland Management,15
2014-01-07,Hughes Capital Management,3
2014-01-07,Hyde Park Baptist Church,3
2014-01-07,IDEA Public Schools,3
2014-01-07,James Schneider,3
2014-01-07,Jeffery C. Garvey,3
2014-01-07,Jewish Community Association of Austin,3
2014-01-07,Jim Gallegos,3
2014-01-07,KIPP Austin Public School,3
2014-01-07,Linda Moody,3
2014-01-07,Liz Lambert,3
2014-01-07,Magellan Development Group,3
2014-01-07,Magnolia Montessori for all,3
2014-01-07,Majestic Realty,2
2014-01-07,Makar Properties,3
2014-01-07,"McCullough, Todd",3
2014-01-07,Meredith Family Revocable Trust,3
2014-01-07,"Nelson, Brad",3
2014-01-07,North Austin MUD No. 1,5
2014-01-07,Onion Associates,3
2014-01-07,Orangestone Bluegrass,3
2014-01-07,P&S Investments I,3
2014-01-07,Qualico,3
2014-01-07,REIT Management,3
2014-01-07,REIT Management and Research,3
2014-01-07,Radisson Hotel,3
2014-01-07,Randy Wilson,3
2014-01-07,"Rice, Robert",3
2014-01-07,Riddell Family,3
2014-01-07,Riverside Resources,4
2014-01-07,Robert Schmidt,3
2014-01-07,Robinson Ranch,3
2014-01-07,Ryan Street and Associates,3
2014-01-07,Safeway,3
2014-01-07,Scott Sayers,3
2014-01-07,Seton Healthcare,4
2014-01-07,"Shapiro, Bobby and Jim",3
2014-01-07,Speakeasy,3
2014-01-07,Speedy Stop,3
2014-01-07,St. Andrew's Episcopal School,3
2014-01-07,Stream Realty,3
2014-01-07,Stubb's Austin Restaurant Company,3
2014-01-07,T. Stacy and Associates,3
2014-01-07,TR Vista Preserve,3
2014-01-07,Tanglewood Forest Limited District,3
2014-01-07,Taylor Morrison of Texas,4
2014-01-07,The Brohn Group,5
2014-01-07,The Charter School Fund,3
2014-01-07,The Dovetail Companies,3
2014-01-07,The Gottesman Company,3
2014-01-07,The Kucera Companies,3
2014-01-07,The NRP Group,3
2014-01-07,The University of Texas System,3
2014-01-07,Tierra Concepts,3
2014-01-07,Trudy's Texas Star,3
2014-01-07,Urban Outfitters,3
