Start,End,Lobbyist,Client,Industry,Cluster,Address,Confidence,IndustryCat1,IndustryCat2
2016-01-12,2017-01-11,Chuck Rice,Pohl Partners,Land Developers,597,"801 RR 620 South, Ste 100-A
Lakeway, Texas 78734
",0.938213199377,,
2014-12-21,2015-12-21,John Donisi,KEEP Real Estate,Real Estate Development,378,"905 Nueces St
Austin, Texas 78701
(30.27287, -97.747232)",0.942312300205,real estate,
2016-01-12,2017-01-11,Chuck Rice,UMLAUF Sculpture Gardens and Museum,Non-Profit Educational Charity,226,"605 Robert E. Lee Road
Austin, Texas 78704
(30.263865, -97.766207)",0.912271007895,non-profit,education
2015-07-21,2016-07-20,Amanda Swor,Fiesta Restaruant Group,Real Estate,877,"8918 Tesoro Drive
San Antonio, Texas 78217
(29.520152, -98.455975)",0.919599,real estate,
2015-07-21,2016-07-20,Amanda Swor,Iron Rock Ranch Apts. Owner,Real Estate,879,"Cira Center 2929 Arch Street 17th Floor
Philadelphia, Pennsylvania 19104
",0.942312300205,real estate,
2016-01-20,2017-01-19,David Armbrust,Southern Company,Energy,655,"Suite 15N-8198 600 North 18th Street
Brimingham, Alabama 35203
",0.938947245479,energy,
2015-10-28,2016-10-27,Jack Gullahorn,Jack W. Gullahorn P.C.,Legal,883,"P.O. Box 140045
Austin, Texas 78714
",0.942312,legal,
2015-11-07,2016-11-06,Kelan Robinson,93 Red River Investors,Real Estate Development,311,"500 West 5th Street, Suite 700
Austin, Texas 78701
(30.26846, -97.747893)",0.942312300205,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Amplify Federal Credit Union,Real Estate Development,752,"PO Box 85300
Austin, Texas 78708
",0.934589517117,real estate,
2016-01-20,2017-01-19,David Armbrust,Radisson Hotel,Hotel,104,"111 East Cesar Chavez at Congress
Austin, Texas 78701
(30.263396, -97.744545)",0.908497255099,hotel,
2015-11-07,2016-11-06,Kelan Robinson,Coppell Building,Real Estate Development,991,"19 N. Fazio Way
Spring, Texas 77389
(30.161469, -95.54386)",0.930560878345,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Duckworth Property Holdings,Real Estate Development,974,"2414 Harris Blvd.
Austin, Texas 78703
(30.292156, -97.756299)",0.929425563131,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Emmis Radio Broadcasting Co.,Real Estate Development,979,"8309 North IH-35
Austin, Texas 78753
(30.3466, -97.69504)",0.942312300205,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Equinox,Real Estate Development,859,"895 Broadway, 5th floor
New York, New York 10003
",0.939865333693,real estate,
2015-11-07,2016-11-06,Kelan Robinson,KDR Equities,Real Estate Development,988,"4125 Swiss Ave., Ste.100,
Dallas, Texas 75204
(32.795734, -96.777342)",0.927338038172,real estate,
2015-11-07,2016-11-06,Kelan Robinson,MBC Engineers,Real Estate Development,174,"1035 Central Parkway North
San Antonio, Texas 78232
(29.570239, -98.475516)",0.91463264823,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Megabus Southwest,Real Estate,945,"1430 East Houston Street
San Antonio, Texas 78202
(29.425061, -98.475479)",0.935177139938,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Osten Hall,Real Estate,195,"501 N. IH 35
Austin, Texas 78702
(30.264954, -97.734399)",0.932467937469,real estate,
2015-11-07,2016-11-06,Kelan Robinson,RJMadden,Real Estate,319,"PO BOX 203066
Austin, Texas 78720
",0.939918100834,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Street Lights Residential,Real Estate,294,"3102 Oak Lawn Ave., Ste. 800
Dallas, Texas 75219
(32.809304, -96.808524)",0.609886439641,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Wells Fargo,Real Estate,985,"609 Castle Ridge Rd. Ste 224
Austin, Texas 78746
(30.295006, -97.829839)",0.836987131172,real estate,
2015-11-07,2016-11-06,Kelan Robinson,Western Rim Investment Advisors,Real Estate,210,"2505 N. State Highway 360, Suite 800
Grand Prairie, Texas 75050
(32.997617, -96.998802)",0.668306631701,real estate,
2015-09-12,2016-09-11,John Joseph,Driveway Austin,Entertainment,930,"4005 Love Bird Lane
Austin, Texas 78730
(30.366963, -97.862486)",0.942312300205,art,
2015-09-12,2016-09-11,John Joseph,Austin Christian Fellowship,Religious Organization,931,"6401 River Place Blvd.
Austin, Texas 78730
(30.389904, -97.848234)",0.919599,religious,
2015-09-12,2016-09-11,John Joseph,KB Home Central Texas Division,Real Estate,933,"10800 Pecan Park, Ste 200
Austin, Texas 78750
",0.936288,real estate,
2015-07-21,2016-07-20,Pamela Madere,"Pahala Ventures, LLC dba Austin Emergency Center",Real Estate,935,"13435 Hwy 183 N, Ste 3311
Austin, Texas 78701
",0.936288,real estate,
2015-07-21,2016-07-20,Pamela Madere,Ski Shores Properties,Real Estate Development,937,"1710 Evergreen Ave., Ste B
Austin, Texas 78704
(30.249898, -97.765376)",0.919909,real estate,
2015-02-02,2016-02-02,R. Haywood,Twelve Lakes,Property Owner,516,"2001 Bryan St. Suite#1550
Dallas, Texas 75201
(32.785047, -96.79613)",0.933266597135,property management,
2015-02-02,2016-02-02,R. Haywood,WJP Swede Hill,Property Owner,926,"11130 Jollyville Road, Suite 302
Austin, Texas 78759
(30.408292, -97.747824)",0.942312300205,property management,
2016-01-07,2017-01-06,Lynn Carley,"TSVF I, Pecan Park",Real Estate Investment/Development,89,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270141, -97.742042)",0.924397403544,real estate,
2016-01-16,2017-01-15,Leah Bojo,Emmis Radio Broadcasting Co.,Real Estate Development,979,"8309 North IH-35
Austin, Texas 78753
(30.3466, -97.69504)",0.942312300205,real estate,
2015-10-06,2016-10-05,Steven Metcalfe,Taurus of Texas GP,Real Estate,244,"9285 Huntington Square
North Richland, Texas 76180
(32.87426, -97.186288)",0.909991301596,real estate,
2016-01-07,2017-01-06,Amanda Morrow,Onion Associates,Real Estate Investment/ Development,677,"2110-A Boca Raton STE. 205
Austin, Texas 78747
",0.942312300205,real estate,
2016-01-07,2017-01-06,Amanda Morrow,P&S Investments I,Real Estate Investment/ Development,144,"8208 Long Canyon
Austin, Texas 78730
",0.936412449394,real estate,
2015-10-06,2016-10-05,Steven Metcalfe,Schwab,Real Estate,967,"215 Fremont, 8th Fl
San Francisco, California 94105
",0.942312,real estate,
2016-01-07,2017-01-06,Amanda Morrow,"Rice, Robert",Real Estate Investment,7,"54 Rainey Street #1004
Austin, Texas 78701
(30.257341, -97.73931)",0.916674724647,real estate,
2015-09-12,2016-09-11,John Joseph,Avion Park,Real Estate Development,191,"9606 N. Mopac #125
Austin, Texas 78759
(30.385447, -97.736028)",0.935399,real estate,
2016-01-07,2017-01-06,Amanda Morrow,Riverside Resources,Property Owner/Developer,156,"100 Congress Avenue, Suite 780
Austin, Texas 78701
(30.263622, -97.744452)",0.884863311245,property management,
2016-01-07,2017-01-06,Amanda Morrow,Safeway,Real Estate Investment,92,"Real Estate Law Office, 5918 Stoneridge Mall Rd.
Pleasanton, California 94588
",0.939870136125,real estate,
2015-10-06,2016-10-05,Steven Metcalfe,Sutton Company,Real Estate,270,"89 Rainey Street
Austin, Texas 78701
(30.260123, -97.738285)",0.88903529942,real estate,
2016-01-07,2017-01-06,Amanda Morrow,"Shapiro, Bobby and Jim",Real Estate Investment,19,"1000 East 4th Street
Austin, Texas 78702
(30.263104, -97.732865)",0.902892180852,real estate,
2015-10-06,2016-10-05,Steven Metcalfe,Steve Pagura,Real Estate,253,"1900 Burton Dr.
Austin, Texas 78741
(30.23448, -97.730767)",0.942312,real estate,
2016-01-16,2017-01-15,Leah Bojo,The NRP Group,Developer,547,"200 Concord Plaza, Suite 900
San Antonio, Texas 78216
(29.484703, -98.548949)",0.896639074598,,
2016-01-05,2017-01-04,Michael Whellan,Stratus Properties,Live Music and Real Estate Development,640,"212 Lavaca Street, Suite 300
Austin, Texas 78701
(30.265733, -97.746323)",0.76417699882,art,music
2016-01-07,2017-01-06,Lynn Carley,"Rice, Robert",Real Estate Investment,7,"54 Rainey Street #1004
Austin, Texas 78701
(30.257341, -97.73931)",0.916674724647,real estate,
2016-01-07,2017-01-06,Lynn Carley,Riverside Resources,Property Owner/Developer,156,"100 Congress Avenue, Suite1450
Austin, Texas 78701
(30.263622, -97.744452)",0.811470508575,property management,
2016-01-07,2017-01-06,Lynn Carley,Safeway,Real Estate Investment,92,"Real Estate Law Office, 5918 Stoneridge Mall Rd.
Pleasanton, California 94588
",0.939870136125,real estate,
2016-01-07,2017-01-06,Lynn Carley,Forestar Real Estate Group,Real Estate,1,"6300 Bee Cave Road Building 2, Suite 500
Austin, Texas 78746
(30.296418, -97.830654)",0.889843402637,real estate,
2016-01-07,2017-01-06,Lynn Carley,"Shapiro, Bobby and Jim",Real Estate Investment,19,"1000 East 4th Street
Austin, Texas 78702
(30.263104, -97.732865)",0.902892180852,real estate,
2016-01-07,2017-01-06,Amanda Morrow,Taylor Morrison,Developer,759,"11200 Lakeline Blvd., Suite 150A
Austin, Texas 78717
(30.480081, -97.797585)",0.927320659161,,
2016-01-20,2017-01-19,David Armbrust,Austin Achieve,Public School,151,"5908 Manor Road
Austin, Texas 78723
(30.307104, -97.679673)",0.879786224742,education,
2015-10-06,2016-10-05,Steven Metcalfe,Fremont Holdings,Real Estate Investment,288,"165 W 73rd St
New York, New York 10023
(40.779004, -73.980446)",0.942312300205,real estate,
2015-10-06,2016-10-05,Steven Metcalfe,Generational Commercial Properties,Real Estate,855,"1503 Ridgecrest Dr.
Austin, Texas 78746
(30.317493, -97.803655)",0.942312,real estate,
2015-07-21,2016-07-20,Pamela Madere,EZ,Lender,269,"500 Highway 26 #225
Hurst, Texas 76054
(32.480541, -96.988291)",0.935399,,
2015-07-21,2016-07-20,Pamela Madere,Terry Mathney,Property Owner,229,"7625 Journey-ville Road
Austin, Texas 78735
(30.247236, -97.876353)",0.913289,property management,
2015-10-15,2016-10-14,Michele Haussmann,Terrell Gates,Real Estate,977,"7004 Bee Caves Rd., Bldg 3, Ste. 300
Austin, Texas 78746
(30.302146, -97.839674)",0.893588652213,real estate,
2015-04-25,2016-04-24,Jerry Harris,Embrey Partners,Developer,102,"1020 N.E. Loop 410, #700
San Antonio, Texas 78209
",0.936868,,
2016-01-07,2017-01-06,Amanda Morrow,The Charter School Fund,Public School,5,"855 Broad Street #300
Boise, Ohio 83702
(43.613616, -116.206248)",0.896507578237,education,
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III",Balcones Resources,Real Estate,216,"1101 East 11th Street
Austin, Texas 78702
(30.269144, -97.729115)",0.834922096309,real estate,
2016-01-07,2017-01-06,Amanda Morrow,The NRP Group,Real Estate Investment,4,"5309 Transportation Blvd.
Cleveland, Ohio 44125
(41.416949, -81.616142)",0.908716712679,real estate,
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III",Brandywine Realty Trust,Real Estate,743,"300 Arboretum Pl., Ste 300
Richmond, Virginia 23236
(37.49288, -77.56492)",0.925633105365,real estate,
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III","Cirrus Logic, Inc.",Real Estate Development,150,"800 West 6th Street
Austin, Texas 78701
(30.2704, -97.750976)",0.660967080366,real estate,
2016-01-12,2017-01-11,Emily Lubbers,Home Builders Association of Greater Austin,Trade Association,816,"8140 Exchange Dr
Austin, Texas 78754
(30.331512, -97.673659)",0.931431804385,,
2015-10-15,2016-10-14,Michele Haussmann,Coppell Building,Real Estate Development,991,"19 N. Fazio Way
Spring, Texas 77389
(30.161469, -95.54386)",0.930560878345,real estate,
2016-01-07,2017-01-06,Lynn Carley,The Charter School Fund,Public School,5,"855 Broad Street #300
Boise, Ohio 83702
(43.613616, -116.206248)",0.896507578237,education,
2016-01-07,2017-01-06,Lynn Carley,The NRP Group,Real Estate Investment,4,"5309 Transportation Blvd.
Cleveland, Ohio 44125
(41.416949, -81.616142)",0.908716712679,real estate,
2016-01-07,2017-01-06,Lynn Carley,Walton International Group,Real Estate Development,684,"4800 North Scottsdale Road, Suite 4000
Scottsdale, Arizona 85251
(33.509427, -111.926376)",0.922505235672,real estate,
2016-01-07,2017-01-06,Lynn Carley,"Wilkinson, Julia Matthews",Real Estate Investment,25,"c/o Osborne, Helman, Knebel &amp; DeLeary L 301 Congress Ave., Ste. 1910
Austin, Texas 78701
",0.940208298819,real estate,
2016-01-07,2017-01-06,Lynn Carley,CP II Wild Basin,Real Estate Investment/Development,88,"823 Congress Avenue, Suite 1150
Austin, Texas 78701
(30.270141, -97.742042)",0.924397403544,real estate,
2016-01-07,2017-01-06,Lynn Carley,Harmony Public Schools,Real Estate Investment/Development,296,"13415 FM 620 N
Austin, Texas 78717
",0.939875286359,real estate,
2016-01-07,2017-01-06,Lynn Carley,Flux Factory,Real Estate Investment/Development,43,"1370 Harrison Street
San Francisco, California 94103
(37.771878, -122.410896)",0.928833972324,real estate,
2016-01-07,2017-01-06,Lynn Carley,"Middleton, David",Real Estate Investment/Development,738,"2509 Tarryhill Place
Austin, Texas 78703
(30.300947, -97.771827)",0.935959041119,real estate,
2016-01-07,2017-01-06,Lynn Carley,James Schoenbaum,Real Estate Investment/Development,157,"3005 South Lamar Boulevard, Suite D109-386
Austin, Texas 78704
(30.242106, -97.784428)",0.79358407855,real estate,
2016-01-07,2017-01-06,Lynn Carley,Manoj Saxena,Real Estate Investment/Development,18,"74 Pascal Lane
Austin, Texas 78746
(30.323355, -97.829052)",0.907576620579,real estate,
2016-01-07,2017-01-06,Lynn Carley,Simon Property Group,Real Estate,65,"115 West Washington Street
Indianapolis, Indiana 46204
(39.76714, -86.16078)",0.853680557013,real estate,
2016-01-07,2017-01-06,Amanda Morrow,"Wilkinson, Julia Matthews",Real Estate Investment,25,"c/o Osborne, Helman, Knebel &amp; DeLeary L 301 Congress Ave., Ste. 1910
Austin, Texas 78701
",0.940208298819,real estate,
2016-01-07,2017-01-06,Amanda Morrow,Colina West Real Estate,Real Estate Investment/Development,486,"804 Congress Ave, Ste 300
Austin, Texas 78701
(30.270244, -97.742003)",0.905008215457,real estate,
2016-01-07,2017-01-06,Amanda Morrow,Capitol City Partners,Real Estate Investment/Development,10,"1717 West 6th Street #445
Austin, Texas 78703
(30.276132, -97.764921)",0.92306587371,real estate,
2016-01-07,2017-01-06,Amanda Morrow,Ryan Companies,Real Estate,553,"111 Congress Avenue, Suite 1850
Austin, Texas 78701
(30.263936, -97.744334)",0.915185256799,real estate,
2016-01-07,2017-01-06,Amanda Morrow,"Pacitti, Chris",Real Estate Investment/Development,138,"300 West 6th Street, Suite 2300
Austin, Texas 78701
(30.268876, -97.745732)",0.942312300205,real estate,
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III",Cypress Semiconductor,High Tech,95,"Champion Court
San Jose, California 95134
",0.942312,technology,
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III",Lincoln Clean Energy,Renewable Energy,800,"401 N. Michigan Ave, Ste 501
Chicago, Illinois 60611
(41.889817, -87.624045)",0.933302,energy,sustainable
2015-10-23,2016-10-22,"Derlis ""Trey"" Salinas III",Seton Healthcare,Healthcare Provider,819,"1201 W. 38th St.
Austin, Texas 78705
(30.306075, -97.745038)",0.52247620532,healthcare,
